Parameters,Mean Test Score,Standard Deviation Test Score,Rank,Training Time
"{'C': 0.01, 'epsilon': 0.001, 'kernel': 'linear'}",2.8336803921470852,0.23797266730995084,1,7.1549680709838865
"{'C': 0.01, 'epsilon': 0.001, 'kernel': 'poly'}",20.13831478619225,0.781391737630563,1,5.95642237663269
"{'C': 0.01, 'epsilon': 0.001, 'kernel': 'rbf'}",22.668341579347953,0.9171437068770015,1,9.056939125061035
"{'C': 0.01, 'epsilon': 0.001, 'kernel': 'sigmoid'}",9.893034332101825,0.5787159296017995,1,8.6609628200531
"{'C': 0.01, 'epsilon': 0.01, 'kernel': 'linear'}",2.834021549706922,0.23836140013958626,1,5.5271941184997555
"{'C': 0.01, 'epsilon': 0.01, 'kernel': 'poly'}",20.135124795334445,0.7820917102590288,1,5.680929899215698
"{'C': 0.01, 'epsilon': 0.01, 'kernel': 'rbf'}",22.669508813965557,0.9185345340563322,1,9.245608186721801
"{'C': 0.01, 'epsilon': 0.01, 'kernel': 'sigmoid'}",9.895066825271304,0.5765949706116358,1,8.959644794464111
"{'C': 0.01, 'epsilon': 0.1, 'kernel': 'linear'}",2.8285521487470042,0.23586134589014088,1,5.228617238998413
"{'C': 0.01, 'epsilon': 0.1, 'kernel': 'poly'}",20.129609936027027,0.7865221675174737,1,5.619500541687012
"{'C': 0.01, 'epsilon': 0.1, 'kernel': 'rbf'}",22.701123920027747,0.9203503061906191,1,8.969377183914185
"{'C': 0.01, 'epsilon': 0.1, 'kernel': 'sigmoid'}",9.895726855224952,0.582865902853233,1,8.601161479949951
"{'C': 0.01, 'epsilon': 0.2, 'kernel': 'linear'}",2.822879310271668,0.23739312342382354,1,5.013718795776367
"{'C': 0.01, 'epsilon': 0.2, 'kernel': 'poly'}",20.139129593665054,0.7797501595724241,1,5.507102632522583
"{'C': 0.01, 'epsilon': 0.2, 'kernel': 'rbf'}",22.72848343245384,0.9308109902615158,1,8.75935401916504
"{'C': 0.01, 'epsilon': 0.2, 'kernel': 'sigmoid'}",9.872535795617761,0.5850954507717768,1,8.08980484008789
"{'C': 0.1, 'epsilon': 0.001, 'kernel': 'linear'}",2.5808991678747417,0.21091748462356236,1,7.895899248123169
"{'C': 0.1, 'epsilon': 0.001, 'kernel': 'poly'}",8.279167813916079,0.5570249958920992,1,5.961709451675415
"{'C': 0.1, 'epsilon': 0.001, 'kernel': 'rbf'}",6.903207125697316,0.41996087255057135,1,9.169210958480836
"{'C': 0.1, 'epsilon': 0.001, 'kernel': 'sigmoid'}",22.657767117502186,1.8042455109441338,1,8.594970226287842
"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}",2.5814498239451553,0.2109408579907269,1,7.882536697387695
"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'poly'}",8.280598380557194,0.5570771613871474,1,5.555094766616821
"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}",6.9024425715639754,0.41888003971529447,1,12.779435920715333
"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'sigmoid'}",22.657191574071515,1.7925159490365101,1,14.297823858261108
"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'linear'}",2.576270922937014,0.20911884718836848,1,9.956974124908447
"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'poly'}",8.28644198399233,0.5487948862678216,1,7.333164405822754
"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}",6.903093246300498,0.4170933569834228,1,9.666433429718017
"{'C': 0.1, 'epsilon': 0.1, 'kernel': 'sigmoid'}",22.600687592452715,1.7723182549969307,1,12.995608043670654
"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'linear'}",2.5733736305119237,0.209809621566824,1,15.851681423187255
"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'poly'}",8.29800253873567,0.5532737879350318,1,12.652528190612793
"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'rbf'}",6.904127997959932,0.4158817770618831,1,17.173329448699953
"{'C': 0.1, 'epsilon': 0.2, 'kernel': 'sigmoid'}",22.53772307223216,1.7547645176001518,1,16.245855379104615
"{'C': 1, 'epsilon': 0.001, 'kernel': 'linear'}",2.425288016091808,0.2072589461446968,1,31.199159240722658
"{'C': 1, 'epsilon': 0.001, 'kernel': 'poly'}",4.151796763499172,0.43971683007401546,1,10.158799600601196
"{'C': 1, 'epsilon': 0.001, 'kernel': 'rbf'}",2.285209232917741,0.1325386730685705,1,19.81125612258911
"{'C': 1, 'epsilon': 0.001, 'kernel': 'sigmoid'}",2442.17527396004,225.0023193285182,1,14.387021923065186
"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}",2.425206688671312,0.2080648601579443,1,26.8148295879364
"{'C': 1, 'epsilon': 0.01, 'kernel': 'poly'}",4.1499273737543865,0.4400149181669929,1,9.117141008377075
"{'C': 1, 'epsilon': 0.01, 'kernel': 'rbf'}",2.2855669647318435,0.1330192069725048,1,13.150184297561646
"{'C': 1, 'epsilon': 0.01, 'kernel': 'sigmoid'}",2439.9861648459914,225.70349838199908,1,13.161463212966918
"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}",2.417649817633903,0.2068397396558435,1,29.046701765060426
"{'C': 1, 'epsilon': 0.1, 'kernel': 'poly'}",4.138054370352128,0.43996610326924157,1,9.463621044158936
"{'C': 1, 'epsilon': 0.1, 'kernel': 'rbf'}",2.2917663866714495,0.13500225307534622,1,11.70852746963501
"{'C': 1, 'epsilon': 0.1, 'kernel': 'sigmoid'}",2441.5729919245255,224.59927284179585,1,13.851335716247558
"{'C': 1, 'epsilon': 0.2, 'kernel': 'linear'}",2.410871759750289,0.20500411406176308,1,39.35533504486084
"{'C': 1, 'epsilon': 0.2, 'kernel': 'poly'}",4.134140691978239,0.42898833402485415,1,12.941212272644043
"{'C': 1, 'epsilon': 0.2, 'kernel': 'rbf'}",2.2911201877918423,0.13288967258681594,1,16.44956374168396
"{'C': 1, 'epsilon': 0.2, 'kernel': 'sigmoid'}",2443.8350520536196,226.43053354971767,1,13.486561298370361
"{'C': 3, 'epsilon': 0.001, 'kernel': 'linear'}",2.3842793473746977,0.21071282116025258,1,64.83695011138916
"{'C': 3, 'epsilon': 0.001, 'kernel': 'poly'}",2.9204883894887126,0.3216558750325294,1,11.543160247802735
"{'C': 3, 'epsilon': 0.001, 'kernel': 'rbf'}",1.6762534887100409,0.10025459454838215,1,13.824347925186157
"{'C': 3, 'epsilon': 0.001, 'kernel': 'sigmoid'}",21916.166852261114,2035.56450011141,1,11.535633373260499
"{'C': 3, 'epsilon': 0.01, 'kernel': 'linear'}",2.3841395572919266,0.21101507949471954,1,65.52494859695435
"{'C': 3, 'epsilon': 0.01, 'kernel': 'poly'}",2.9191564795759577,0.3211780963943554,1,11.668027639389038
"{'C': 3, 'epsilon': 0.01, 'kernel': 'rbf'}",1.6756486662737093,0.10012361807824063,1,13.58392858505249
"{'C': 3, 'epsilon': 0.01, 'kernel': 'sigmoid'}",21911.139260548218,2029.0632276936622,1,11.780372810363769
"{'C': 3, 'epsilon': 0.1, 'kernel': 'linear'}",2.381906711194495,0.2112426549402655,1,67.3503809928894
"{'C': 3, 'epsilon': 0.1, 'kernel': 'poly'}",2.9055588142573896,0.3142063543309263,1,11.35398817062378
"{'C': 3, 'epsilon': 0.1, 'kernel': 'rbf'}",1.674321702991009,0.10248032816797772,1,14.267872333526611
"{'C': 3, 'epsilon': 0.1, 'kernel': 'sigmoid'}",21960.020626410875,1995.504730159205,1,20.72587122917175
"{'C': 3, 'epsilon': 0.2, 'kernel': 'linear'}",2.374983093314581,0.20933499464129038,1,69.87003726959229
"{'C': 3, 'epsilon': 0.2, 'kernel': 'poly'}",2.894823951594699,0.3106081547955892,1,11.552453327178956
"{'C': 3, 'epsilon': 0.2, 'kernel': 'rbf'}",1.6730961263016813,0.10242235020732247,1,11.326235580444337
"{'C': 3, 'epsilon': 0.2, 'kernel': 'sigmoid'}",21918.82373750881,2030.9143470448519,1,13.727260541915893
"{'C': 5, 'epsilon': 0.001, 'kernel': 'linear'}",2.371628428052886,0.21245222832195743,1,114.34349808692932
"{'C': 5, 'epsilon': 0.001, 'kernel': 'poly'}",2.5707724137974104,0.2415825356090914,1,26.070594024658202
"{'C': 5, 'epsilon': 0.001, 'kernel': 'rbf'}",1.523795303501272,0.09631800819043541,1,15.899188566207886
"{'C': 5, 'epsilon': 0.001, 'kernel': 'sigmoid'}",61033.900411057286,5552.491895945775,1,12.485167217254638
"{'C': 5, 'epsilon': 0.01, 'kernel': 'linear'}",2.3715500475596256,0.21107236296716844,1,98.65269894599915
"{'C': 5, 'epsilon': 0.01, 'kernel': 'poly'}",2.5706131289069276,0.24252360815545643,1,16.424529361724854
"{'C': 5, 'epsilon': 0.01, 'kernel': 'rbf'}",1.5232316935053567,0.0964741160497403,1,16.59098529815674
"{'C': 5, 'epsilon': 0.01, 'kernel': 'sigmoid'}",61043.5518265191,5553.679490130081,1,13.679195070266724
"{'C': 5, 'epsilon': 0.1, 'kernel': 'linear'}",2.366054696186692,0.21415565542174328,1,111.13901042938232
"{'C': 5, 'epsilon': 0.1, 'kernel': 'poly'}",2.564903751460906,0.24165610245849864,1,14.831989240646362
"{'C': 5, 'epsilon': 0.1, 'kernel': 'rbf'}",1.5213776622248258,0.09879690405407715,1,15.691293668746948
"{'C': 5, 'epsilon': 0.1, 'kernel': 'sigmoid'}",61016.261901771475,5551.692584317967,1,12.978811264038086
"{'C': 5, 'epsilon': 0.2, 'kernel': 'linear'}",2.3599638978476873,0.21029419825017076,1,105.14722890853882
"{'C': 5, 'epsilon': 0.2, 'kernel': 'poly'}",2.556607109422417,0.2384465797132681,1,14.412265920639038
"{'C': 5, 'epsilon': 0.2, 'kernel': 'rbf'}",1.5204524680814278,0.09852561375680696,1,13.236816930770875
"{'C': 5, 'epsilon': 0.2, 'kernel': 'sigmoid'}",61010.247045755954,5562.567993578485,1,13.227233505249023
"{'C': 10, 'epsilon': 0.001, 'kernel': 'linear'}",2.3497721756092895,0.21278228555186546,1,179.94288702011107
"{'C': 10, 'epsilon': 0.001, 'kernel': 'poly'}",2.3472628758789433,0.15924181050562722,1,23.039838457107543
"{'C': 10, 'epsilon': 0.001, 'kernel': 'rbf'}",1.4184341821359385,0.10452624615600364,1,21.368662071228027
"{'C': 10, 'epsilon': 0.001, 'kernel': 'sigmoid'}",243531.8668215218,22207.223034594903,1,11.012496709823608
"{'C': 10, 'epsilon': 0.01, 'kernel': 'linear'}",2.3493960960235896,0.21214068468819397,1,194.11271181106568
"{'C': 10, 'epsilon': 0.01, 'kernel': 'poly'}",2.3458560207888035,0.16018126771641902,1,31.962794971466064
"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}",1.4179966435612794,0.10460505540781188,1,27.520615434646608
"{'C': 10, 'epsilon': 0.01, 'kernel': 'sigmoid'}",243582.68363373232,22158.94938108308,1,14.526128482818603
"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",2.3475549365856843,0.21731984560102033,1,247.16712608337403
"{'C': 10, 'epsilon': 0.1, 'kernel': 'poly'}",2.3372731919143326,0.16845394548429465,1,15.133687973022461
"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}",1.414505961926357,0.10627238712465917,1,12.016581487655639
"{'C': 10, 'epsilon': 0.1, 'kernel': 'sigmoid'}",243565.79455228927,22411.106064343876,1,8.252908992767335
"{'C': 10, 'epsilon': 0.2, 'kernel': 'linear'}",2.3401675021398,0.21339535709644158,1,159.24612703323365
"{'C': 10, 'epsilon': 0.2, 'kernel': 'poly'}",2.334473232829363,0.17373587005626656,1,16.58257622718811
"{'C': 10, 'epsilon': 0.2, 'kernel': 'rbf'}",1.4112668045647028,0.10744264039640726,1,11.782767534255981
"{'C': 10, 'epsilon': 0.2, 'kernel': 'sigmoid'}",243041.1845690933,21772.58342350763,1,9.822245883941651
